final_rank,reduced_formula,superconductor_ranking,best_rbt_score,best_tc_estimate,best_tau_valence,best_kappa_curvature,best_phase_locking,best_prototype,structure_quality,n_elements
441,Li2Ca2MgFe,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
442,Li2CaMg2Fe,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
443,LiCaAlFe3,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
444,LiCa2AlFe2,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
445,LiCa3AlFe,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
446,CaMg(AlFe)2,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
447,Ca2MgAl2Fe,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
448,CaMg2Al2Fe,1.4327,0.5866,30.9703,0.3333,0.0000,0.0000,quaternary_heusler,0.5000,4
449,LiMg3(FeB)2,1.4320,0.5861,30.9195,0.3750,0.0000,0.0374,quaternary_heusler,0.5000,4
450,LiMg2Fe3B2,1.4319,0.5860,30.9090,0.3750,0.0000,0.0371,layered_perovskite,0.5000,4
451,Ca2Mg3AlB2,1.4319,0.5860,30.9090,0.3750,0.0000,0.0371,quaternary_heusler,0.5000,4
452,Mg3Al(FeB)2,1.4319,0.5860,30.9077,0.3750,0.0000,0.0370,quaternary_heusler,0.5000,4
453,LiCa2Mg3B2,1.4308,0.5853,30.8347,0.3750,0.0000,0.0347,quaternary_heusler,0.5000,4
454,Ca3Mg2AlB2,1.4308,0.5853,30.8347,0.3750,0.0000,0.0347,quaternary_heusler,0.5000,4
455,Mg2AlFe3B2,1.4306,0.5851,30.8156,0.3750,0.0000,0.0341,quaternary_heusler,0.5000,4
456,Ca2AlFe3B2,1.4306,0.5851,30.8156,0.3750,0.0000,0.0341,layered_perovskite,0.5000,4
457,LiCa3(MgB)2,1.4305,0.5851,30.8147,0.3750,0.0000,0.0341,quaternary_heusler,0.5000,4
458,LiCa3(FeB)2,1.4305,0.5851,30.8147,0.3750,0.0000,0.0341,quaternary_heusler,0.5000,4
459,Ca3Al(FeB)2,1.4304,0.5850,30.8028,0.3750,0.0000,0.0337,quaternary_heusler,0.5000,4
460,LiCa2Fe3B2,1.4299,0.5847,30.7702,0.3750,0.0000,0.0327,quaternary_heusler,0.5000,4
461,Mg2Al2Fe3B,1.4253,0.5817,30.4495,0.3750,0.0000,0.0225,quaternary_heusler,0.5000,4
462,Ca2Al2Fe3B,1.4253,0.5817,30.4495,0.3750,0.0000,0.0225,quaternary_heusler,0.5000,4
463,Li2Mg3,1.4249,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,0.6000,2
464,Li2Ca3,1.4249,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,0.6000,2
465,Li2Fe3,1.4249,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,0.6000,2
466,Mg3Al2,1.4249,0.5681,29.0493,0.4000,0.0000,0.0000,rocksalt,0.6000,2
467,Li2Ca3Mg2B,1.4243,0.5810,30.3793,0.3750,0.0000,0.0202,quaternary_heusler,0.5000,4
468,Li2Ca3Fe2B,1.4243,0.5810,30.3793,0.3750,0.0000,0.0202,quaternary_heusler,0.5000,4
469,Li2Mg3Fe2B,1.4242,0.5809,30.3683,0.3750,0.0000,0.0199,quaternary_heusler,0.5000,4
470,Li2Ca2Mg3B,1.4242,0.5809,30.3678,0.3750,0.0000,0.0199,quaternary_heusler,0.5000,4
471,Li2Mg2Fe3B,1.4242,0.5809,30.3666,0.3750,0.0000,0.0198,quaternary_heusler,0.5000,4
